Title,Form-factor,Category of BCI,reality factor,neurafictionality,neuroptimism,BCI forecast,Near Future,prediction,,Name of BCI,Image,Cover,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,Description,Keywords,Author/Directed by,Distributed by,Production Company,Link,Publisher (Novels/Games),Quotes,Notes,Year,Utopia/Dystopia in the media,years since publication,RF: advertisement,RF: communication,RF: consciousness,RF: control of the user,RF: dreams,RF: emotions,RF: knowledge upload,RF: linking,RF: memory,RF: perception,RF: practical,RF: reading thoughts,RF: reality,RF: recording brain activity,RF: rehabilitation,RF: robot/object control,RF: sensation,RF: stimulation,RF: storage,RF: telepathy,RF: termination,RF: tracking,RF: transfer,prediction,BCIF: communication,NF: communication,TO: communication,reality factor check,,,,,,,,,,,,,,Category,reality factor,neurafictionality,neuro-optimism,BCI forecast,,Total Works
 Star Trek: Deep Space Nine,tool,reading thoughts,0.534883721,0.13372093,0.25,43,20,2041,,Romulan mind probe (mind scanner),Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Romulan_mind_probes.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BMDc3OGNhYjUtZGYwNi00MjllLWE0MjYtNDFiYmVhNWI0MGJmXkEyXkFqcGdeQXVyNTE1NjY5Mg._V1_%205.jpg,1-Jan-99,"Anime, Movie, TV Series, comics, game",dystopia,Non-invasive,"The device had the ability to record thoughts and provide that data to be read by the interrogators, thus making it possible to bypass normal interrogation techniques.",interrogation,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,,,,,1999,Dystopia,23,,0.534883721,,,,,,,,,,0.534883721,,,,,,,,,,,,2041,43,0.13372093,0.25,0.534883721,,,,,,,,,,,,,,,,,,,,
Sol Bianca,helmet,reading thoughts,0.534883721,0.13372093,0.25,43,20,2041,,"The F-310 Mega-Arms, non-invasive",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/BalanceIssues.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Sol_Bianca-Legacy_cover.jpg,1-Jan-99,Anime,dystopia,Non-invasive,"It is a direct neural interface weapon, tapping into the user's thoughts and intentions. By reading the mind of the soldier wearing it - its a big gun - the reflexes of the peripheral nervous system are effectively bypassed and the gun fires long before the finger pulls the trigger. It is pretty much instantaneous when the decision to fire has been made.",military,"Hiroki Hayashi, Katsuhito Akiyama",,AIC,,,,,1999,Dystopia,23,,0.534883721,,,,,,,,,,0.534883721,,,,,,,,,,,,2041,43,0.13372093,0.25,0.534883721,,,,,,,,,,,,,,,,,,,,
Harry Potter,hat,reading thoughts,0.555555556,0.143678161,0.25862069,45,20,2041,,Sorting Hat,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Sorting_Hat.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/sortinghat.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/71GUwvLFdL._AC_SY879_.jpg,1-Jan-97,"Movie, Novel, Theatre, game",utopia,Non-invasive,"The Hat is skilled with legilimency, the act of magically navigating through the many layers of a person's mind and correctly interpreting one's findings. A person who practises this art is known as a Legilimens. Muggles might call this ""mind-reading,"" but practitioners disdain the term as naive. The opposite of Legilimency is Occlumency, which may be used to shield one's mind from the invasion and influence of a Legilimens.",education,J. K. Rowling,Warner Bros. Pictures,Warner Bros. Pictures,,Bloomsbury Publishing,,,1997,Utopia,25,,0.555555556,,,,,,,,,,0.555555556,,,,,,,,,,,,2041,45,0.143678161,0.25862069,0.555555556,,,,,,,,,,,,,,,,,,,,
Avengers: Infinity War,stone,"dreams, memory, reading thoughts",0.031007752,0.026143791,0.843137255,129,125,2146,,Mind Stone,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Age-ultron-movie-screencaps.com-2111.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/AW_43_Trailer_pic.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Jarvis_Ultron_Systems.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MS_out_Scepter_image.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Vision_Mind_Stone_removal_surgery.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Vision.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/VisionThor_Iron_Man.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Mind_Stone-Clean.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/mindstones.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/A1t8xCe9jwL._AC_SL1500_.jpg,1-Jan-18,"Movie, comics, game","dystopia, utopia",Non-invasive,"Mind Stone allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; VisioThe Mind Stone is one of the six Infinity Stones, the remnant of a singularity that predated the universe, which governed over the fabric of mind. The Mind Stone allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious. At its core, the Stone contains a highly advanced intelligence framework, akin to an incredibly powerful supercomputer operating similarly to a sentient mind. The Stone's intelligence is powerful enough to enhance and spontaneously grant sentience to the artificial beings Ultron and Vision. As implied by this intelligence, the Stone itself also possesses a form of sentience, with the Stone directly communicating with Vision in order to warn him of the coming threat of Thanos.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; Vision",,"Anthony Russo, Joe Russo","Motion Pictures, Walt Disney Studios",Marvel Studios,,,,,2018,"Dystopia, Utopia",4,,0.031007752,0.031007752,,0.031007752,,,,0.031007752,0.031007752,,0.031007752,,,,,,,,,,,,2146,129,0.026143791,0.843137255,0.031007752,,,,,,,,,,,,,,,,,,,,
The Nexus Trilogy,drug,"reading thoughts, recording brain activity",0.090909091,0.062893082,0.691823899,110,100,2121,,Nexus 5,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/1wVbdLldazgI9l4t4OTcYGw.png,1-Jan-12,Novel,"dystopia, utopia",N/A,nano-drug for direct input and output of brain signals,,Ramez Naam,,,,Axon Press,,,2012,"Dystopia, Utopia",10,,0.090909091,,,,,,,,,0.090909091,0.090909091,,0.090909091,,,,,,,,,,2121,110,0.062893082,0.691823899,0.090909091,,,,,,,,,,,,,,,,,,,,
"Nick Hall, thrilogy",implant,"linking, reading thoughts",0.074074074,0.050955414,0.687898089,108,100,2121,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/81o2psWg9PL._SY300_.jpg,1-Jan-14,Novel,"dystopia, utopia",Invasive,implants that have the ability for the brain to connect directly to the internet as well as reading minds,network,Douglas E. Richards,,,,Paragon Press,,,2014,"Dystopia, Utopia",8,,0.074074074,,,,,,0.074074074,,,,0.074074074,,,,,,,,,,,,2121,108,0.050955414,0.687898089,0.074074074,,,,,,,,,,,,,,,,,,,,
Minority Report,"helmet, tank with water","communication, knowledge upload, memory, reading thoughts",0.137931034,0.118343195,0.857988166,145,125,2146,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Minority-Report-Agatha-1024x551.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/unnamed-2%201.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/v1.bTsxMTE3MDM0MztqOzE4NzU5OzEyMDA7ODAwOzEyMDA.jpeg,1-Jan-02,"Movie, Novel",dystopia,Non-invasive,"specialized mutated humans, called ""Precogs"", who ""previsualize"" crimes by receiving visions of the future.","law enforcement, police","Philip K. Dick, Steven Spielberg","20th Century Fox, DreamWorks Pictures","20th Century Fox, Amblin Entertainment, DreamWorks Pictures",,Fantastic Universe,,,2002,Dystopia,20,,0.137931034,,,,,0.137931034,,0.137931034,0.137931034,,0.137931034,,,,,,,,,,,,2146,145,0.118343195,0.857988166,0.137931034,,,,,,,,,,,,,,,,,,,,
Minority Report,helmet,memory,0.137931034,0.118343195,0.857988166,145,125,2146,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-06-19_at_5.04.09_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-06-19_at_5.04.14_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/41pbyo7o7rL._AC_.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/fPviMQt.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/v1.bTsxMTE3MDM0MztqOzE4NzU5OzEyMDA7ODAwOzEyMDA.jpeg,1-Jan-02,Movie,dystopia,Non-invasive,headband with a single glowing indicator at the rear to wipe the mind of the prisoner and to control them,"law enforcement, police","Philip K. Dick, Steven Spielberg","20th Century Fox, DreamWorks Pictures","20th Century Fox, Amblin Entertainment, DreamWorks Pictures",,Fantastic Universe,,,2002,Dystopia,20,,,,,,,,,0.137931034,0.137931034,,,,,,,,,,,,,,2146,,,,0.137931034,,,,,,,,,,,,,,,,,,,,
"Futurama, S6 EP16 ""Law and Oracle""","helmet, tank with water","communication, knowledge upload, memory, reading thoughts, storage",0.080882353,0.06875,0.85,136,125,2146,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-01-19_at_8.19.10_PM.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/71ESCNMNE1L._SL1272_.jpg,1-Jan-11,sitcom,dystopia,Non-invasive,"Pickles, a robot equipped with an advanced human brain that can predict crimes in advance before they happen.","law enforcement, police",Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",,,,Parody to original Minority Report,2011,Dystopia,11,,0.080882353,,,,,0.080882353,,0.080882353,0.080882353,,0.080882353,,,,,,,0.080882353,,,,,2146,136,0.06875,0.85,0.080882353,,,,,,,,,,,,,,,,,,,,
The Mind Machine,N/A,"linking, reading thoughts, robot/object control",0.310344828,0.056962025,0.183544304,29,20,2041,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BMTA0MTUxNDg3MTBeQTJeQWpwZ15BbWU3MDQ2MzE4MDg._V1_UX182_CR00182268_AL_.jpg,1-Jan-13,Anime,"dystopia, utopia",N/A,"Nick Wallace, a computer scientist, discovers a way to control computers with ones thoughts, permitting human beings to think on super-human levels.",,Joseph Herman,,Legend Animation,,,,,2013,"Dystopia, Utopia",9,,0.310344828,,,,,,0.310344828,,,,0.310344828,,,,0.310344828,,,,,,,,2041,29,0.056962025,0.183544304,0.310344828,,,,,,,,,,,,,,,,,,,,
Ghost in the Shell,implant,"consciousness transfer, linking, storage",0.264705882,0.153409091,0.579545455,102,75,2096,,CyberBrain,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/cyber1.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/cyber2.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/61bBi5MJhFL._SX359_BO1204203200_.jpg,1-Jan-95,"Anime, Movie, comics","dystopia, utopia",Invasive,"Cyberization is the process whereby a normal brain is physically integrated with electronic components to produce an augmented organ referred to as a cyberbrain. The terms were first coined in the anime and manga series Ghost in the Shell. Cyberbrain implants, in conjunction with micromachines, allow the brain to initiate and maintain a connection to computer networks or other individuals who also possess a cyberbrain. Through the use of a cyberbrain it is possible to have a direct, constant connection between the human brain and the Internet without the need for external devices. This capability results in a number of unforeseen psychosocial phenomena (including the Stand Alone Complex) whose emergence is a major plot element of the various Ghost in the Shell stories.                 A cyberbrain works, ""similar"" to a human brain, to make the body respond to the brain it shoots off an electrical signal through a mass of wiring, (similar to nerves) that's the basics on motion. The thought process is (in theory) close to the same as a fully organic brain.",network,Mamoru Oshii,Shochiku,"Bandai Visual, Production I.G.",,,,,1995,Dystopia,27,,0.264705882,0.264705882,,,,,0.264705882,,0.264705882,,,,,,,,,0.264705882,,,,0.264705882,2096,102,0.153409091,0.579545455,0.264705882,,,,,,,,,,,,,,,,,,,,
"Black Mirror, S4 EP6 ""Black Museum""",hologram,consciousness transfer,0.047619048,0.032467532,0.681818182,105,100,2121,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/black-mirror-devices-conscious-hologram-black-museum.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/black_mirror___black_museum_by_devangill-dbw4q31.jpg,1-Jan-17,TV Series,"dystopia, utopia",N/A,"Using the same consciousness-copying and downloading tech as seen in other “Black Mirror” episodes and discussed earlier in “Black Museum,” the conscious hologram is an actual copy of the person’s entire personality. The technology scans through the person’s brain to exactly duplicate them as a simulation. In “Black Museum,” the consciousness is then simulated in a physical space as a hologram. The hologram is still able to feel pain through the simulation, however, and full copies of the consciousness can be placed in other storage devices, just like the talking monkey doll.",hologram,Colm McCarthy,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",,,,,2017,Dystopia,5,,,0.047619048,,,,,,,,,,,,,,,,,,,,0.047619048,2121,,,,0.047619048,,,,,,,,,,,,,,,,,,,,
Meditations,N/A,consciousness transfer,0.792099792,0.718867925,0.90754717,481,100,2121,,Brain in the a vat,,,"January 1, 1641",Novel,"dystopia, utopia",Non-invasive,Brain taken out of the body,,René Descartes,,,,,,,1641,Utopia,381,,,0.792099792,,,,,,,,,,,,,,,,,,,,0.792099792,2121,,,,0.792099792,,,,,,,,,,,,,,,,,,,,
"Black Mirror, SP White Christmas","hologram, tool",consciousness transfer,0.056603774,0.038709677,0.683870968,106,100,2121,,Cookie,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Black_Mirror_-_White_Christmas.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/toastAI.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/71KycZQfQeL._SL1500_.jpg,1-Jan-16,TV Series,"dystopia, utopia",N/A,"A “Cookie” is a small-scale simulation of a person’s consciousness. The cookie computer chip is temporarily implanted into a person’s brain, where it copies their consciousness, and is then removed and placed in small, egg-shaped computer. It’s essentially an artificial intelligence, but it believes it is the person from whom the cookie was copied, which pretty much makes it a person itself. Cookies are used as personal assistants in smart homes, but in order for them to be effective, their will has to be broken. That’s done by adjusting controls that affect how the AI experiences time, causing the consciousness to be trapped and isolated for what can feel like weeks or years, when only a few seconds or minutes passes in the real world.
Cookies also apparently have other purposes. In the “Black Mirror” special episode, a cookie copy of a person is interrogated in order to coerce a confession for a murder, without the consent of the real person who was accused of committing it.","consciousness, emulation",Carl Tibbetts,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",,,,,2016,Dystopia,6,,,0.056603774,,,,,,,,,,,,,,,,,,,,0.056603774,2121,,,,0.056603774,,,,,,,,,,,,,,,,,,,,
"Black Mirror, S3 EP ""San Junipero""",N/A,"consciousness transfer, knowledge upload",0.056603774,0.038709677,0.683870968,106,100,2121,,San Junipero,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/black-mirror-devices-san-junipero.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Black_Mirror_San_Junipero_TV-253260137-large.jpg,1-Jan-16,TV Series,utopia,N/A,"A digitizing process that can upload the consciousness of a person into the simulation permanently, outside of their physical body. The idea is that the elderly and dying can be uploaded into the simulation to effectively live forever, even after their bodies have died.",consciousness,Owen Harris,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",,,,,2016,Utopia,6,,,0.056603774,,,,0.056603774,,,0.056603774,,,,,,,,,,,,,0.056603774,2121,,,,0.056603774,,,,,,,,,,,,,,,,,,,,
The Ship Who Sang,implant,"consciousness transfer, linking",0.4140625,0.262376238,0.633663366,128,75,2096,,Brainship,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/ShipWhoSang.jpg,1-Jan-69,Novel,"dystopia, utopia",,"A brainship is made by inserting the disembodied brain and nervous system or malformed body of a human being into a life-support system, and connecting it surgically to a series of computers via delicate synaptic connections.
The brain ""feels"" the ship (or any other connected peripherals) as part of its own body.",,Anne McCaffrey,,,,Walker & Co.,,,1969,"Dystopia, Utopia",53,,0.4140625,0.4140625,,,,,0.4140625,,,,,,,,,,,,,,,0.4140625,2096,128,0.262376238,0.633663366,0.4140625,,,,,,,,,,,,,,,,,,,,
Futurama,helmet,consciousness transfer,0.090909091,0.062893082,0.691823899,110,100,2121,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/futurama-neardeath3-2.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/610CLANJKDL._AC_SL1000_.jpg,1-Jan-12,sitcom,"dystopia, utopia",Non-invasive,"tapping into the Matrix idea of bodies being used for batteries, the older people that stayed at this ‘Near-Death Star’ where hooked to wires pushing their consciousness into a computer generated environment. In order for visitors to get inside the 3D modeled world, they had to jack into the system through a USB connection wearing torture-like headsets complete with metal spikes attached. A zap of energy would transport the users into the system falling through a tunnel of 1’s and 0’s.",consciousness,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",,,,,2012,"Dystopia, Utopia",10,,,0.090909091,,,,,,,,,,,,,,,,,,,,0.090909091,2121,,,,0.090909091,,,,,,,,,,,,,,,,,,,,
Robocop,"exoskeleton, implant","consciousness transfer, manipulation",0.137931034,0.050955414,0.369426752,58,50,2071,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/robocop_2014.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-01-10_at_4.03.21_PM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Robocop_poster.jpg,1-Jan-14,Movie,"dystopia, utopia",Invasive,Parts of the brain of the policeman reused to be built into a new “robocop” – half-human/half cyborg system,military,Jose Padilha,Sony Pictures Releasing,"Columbia Pictures, Metro-Goldwyn-Mayer",,,,,2014,"Dystopia, Utopia",8,,,0.137931034,,,,,,,0.137931034,,,,,,,0.137931034,,,,,,0.137931034,2071,,,,0.137931034,,,,,,,,,,,,,,,,,,,,
Westworld,hat,"consciousness transfer, storage",0.050632911,0.026143791,0.516339869,79,75,2096,,Hat,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/hat-e1529281293467.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_9863.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/mL2447_1024x1024.jpg,1-Jan-18,"Movie, TV Series",dystopia,Non-invasive,"The cowboy hats were scanning brains and making copies of the guests allowing Delos to save those scans in the servers stored at the Valley Beyond (aka the Forge), creating a “Cradle” similar but much bigger than where Ford was hiding out. ",emulation,"Jonathan Nolan, Lisa Joy",Warner Bros. Television,"Bad Robot Productions, HBO Entertainment, Warner Bros. Television",,,,,2018,Dystopia,4,,,0.050632911,,,,,,,0.050632911,,,,,,,,,0.050632911,,,,0.050632911,2096,,,,0.050632911,,,,,,,,,,,,,,,,,,,,
The Quantum Thief,N/A,"cerebral defense, consciousness transfer",0.107142857,0.074534161,0.695652174,112,100,2121,,Gogol,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/220px-The_Quantum_Thief.jpg,1-Jan-10,Novel,dystopia,N/A,"Brain emulation; Gogal Pirates; gogol piracy – defined as the 'uploading of a human mind without the victim’s knowledge, stealing their mind,' disconnecting or disassociating the mind from its human prime; creating a discontinuity of the soul.",emulation,Hannu Rajaniemi,,,,Gollancz,,,2010,Dystopia,12,,,0.107142857,,,,,,,,,,,,,,,,,,,,0.107142857,2121,,,,0.107142857,,,,,,,,,,,,,,,,,,,,
Possessor: Uncut,N/A,"consciousness transfer, knowledge upload",0.019607843,0.013245033,0.675496689,102,100,2121,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/lvcg55pi6s451.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Possessor_(film)_poster.jpg,1-Jan-20,Movie,dystopia,N/A,"""possessor"": a contract killer whose consciousness is implanted into the body of another person in order to carry out an assassination.",assasination,Brandon Cronenberg,,"Particular Crowd, Rhombus Media",,,,,2020,Dystopia,2,,,0.019607843,,,,0.019607843,,,0.019607843,,,,,,,,,,,,,0.019607843,2121,,,,0.019607843,,,,,,,,,,,,,,,,,,,,
Criminal,headset,consciousness transfer,0.056603774,0.038709677,0.683870968,106,100,2121,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/FullSizeRender.jpeg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Criminal_2016_poster.jpg,1-Jan-16,Movie,utopia,Non-invasive,"One time usage, transfer of the knowledge",knowledge,Ariel Vromen,Lionsgate Premiere,"Millennium Films, Summit Entertainment",,,,,2016,"Dystopia, Utopia",6,,,0.056603774,,,,,,,,,,,,,,,,,,,,0.056603774,2121,,,,0.056603774,,,,,,,,,,,,,,,,,,,,
The Winter Market,N/A,consciousness transfer,0.264705882,0.194594595,0.735135135,136,100,2121,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/1562805606_1fd2d601a5_o.jpg,1-Jan-86,Short Story,"dystopia, utopia",N/A,"consciousness is separated from the body and ""uploaded"" into a supercomputer, where it continues to think and function on its own.",consciousness,William Gibson,,,,Arbor House Publishing Company,,,1986,"Dystopia, Utopia",36,,,0.264705882,,,,,,,,,,,,,,,,,,,,0.264705882,2121,,,,0.264705882,,,,,,,,,,,,,,,,,,,,
Count Zero,N/A,"consciousness transfer, memory",0.264705882,0.194594595,0.735135135,136,100,2121,,Biosoft,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/91nhk-aO7lL.jpg,1-Jan-86,Novel,"dystopia, utopia",N/A,"A biography that includes actual life experience from the subject; a biographical download.
",BIO,William Gibson,,,,Gollancz,"“Machine dreams hold a special vertigo. Turner lay down on a virgin slab of green temperfoam in the makeshift dorm and jacked Mitchell's dossier. It came on slow; he had time to close his eyes.
Ten seconds later, his eyes were open. He clutched the green foam and fought his nausea. Again he closed his eyes. It came on, again, gradually, a flickering non-linear flood of fact and sensory data, a kind of narrative conveyed in surreal jumpcuts and juxtapositions.”",,1986,"Dystopia, Utopia",36,,,0.264705882,,,,,,0.264705882,0.264705882,,,,,,,,,,,,,0.264705882,2121,,,,0.264705882,,,,,,,,,,,,,,,,,,,,
Count Zero,cover,"consciousness transfer, memory",0.782608696,0.194594595,0.248648649,46,10,2031,,Dustplug,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/91nhk-aO7lL.jpg,1-Jan-86,Novel,utopia,N/A,"A cover specially made to protect one's microsoft socket; a tongue retainer for your brain.
",,William Gibson,,,,Gollancz,"Among the dozen-odd microsofts the Dutchman had given him was one that would allow a limited fluency in Spanish, but in Vallarta he'd fumbled behind his left ear and inserted a dustplug instead, hiding the socket and plug beneath a square of flesh-tone micropore. A passenger near the back of the bus had a radio. A voice had periodically interrupted the brassy pop to recite a kind of litany, strings of ten-digit figures, the day's winning numbers in the national lottery.",,1986,Utopia,36,,,0.782608696,,,,,,0.782608696,0.782608696,,,,,,,,,,,,,0.782608696,2031,,,,0.782608696,,,,,,,,,,,,,,,,,,,,
Joe 90,tool,"knowledge upload, recording brain activity",0.350649351,0.266009852,0.75862069,154,100,2121,,BIG RAT,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Joe90_2_540x300-thumb-540xauto-3099.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/joe_90_the_big_rat_by_arthurtwosheds-d95wa02.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BMzYzYjYwY2MtMzNhYy00ZTNjLTgyOGMtMmUwOTFkNGQ2YTJmXkEyXkFqcGdeQXVyNDA3MDAwOQ._V1_UY1200_CR10706301200_AL_.jpg,1-Jan-68,"Novel, TV Series, comics",utopia,Non-invasive,"The ""BIG RAT"" (Brain Impulse Galvanoscope Record And Transfer), a machine capable of recording knowledge and experience from leading experts in various fields and transferring it to another human brain. At the heart of the design is the ""Rat Trap"": a spherical, rotating cage in which a subject is seated during the transfer of ""brain patterns"".",knowledge,"Gerry Anderson, Sylvia Anderson",ITC Entertainment,Century 21 Productions,,City Magazines,,,1968,Utopia,54,,,,,,,0.350649351,,,0.350649351,0.350649351,,,0.350649351,,,,,,,,,,2121,,,,0.350649351,,,,,,,,,,,,,,,,,,,,
Hostile Waters Antaeus Rising,N/A,"consciousness transfer, knowledge upload, linking, storage",0.143835616,0.123529412,0.858823529,146,125,2146,,soulcatcher chips,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Hostile_Waters_coverart.jpg,1-Jan-01,game,dystopia,N/A,"On board are a series of ""soulcatcher"" chips, a classified 1990s military program researched into for the storage of human brain functions on a silicon chip. The soulcatcher technology was used to store the minds of every crew member ever assigned to an Antaeus vessel.",military,,,,,,,,2001,"Dystopia, Utopia",21,,0.143835616,0.143835616,,,,0.143835616,0.143835616,,0.143835616,,,,,,,,,0.143835616,,,,0.143835616,2146,146,0.123529412,0.858823529,0.143835616,,,,,,,,,,,,,,,,,,,,
Down and Out in the Magic Kingdom,N/A,"consciousness transfer, knowledge upload, memory, storage",0.131944444,0.113095238,0.857142857,144,125,2146,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Downandout.jpg,1-Jan-03,Novel,"dystopia, utopia",N/A,"""Refresh"" or a ""restore from backup"" is the cure for dying; which consists of creating a ""force-grown"" clone and downloading into its mind a backup of one's own mind created earlier. Synthesized memories (from other data sources filling in the time gap between last backup and death) were an innovation created in the book.","backup, clones, eternal life",Cory Doctorow,,,,Tor Books,,,2003,"Dystopia, Utopia",19,,,0.131944444,,,,0.131944444,,0.131944444,0.131944444,,,,,,,,,0.131944444,,,,0.131944444,2146,,,,0.131944444,,,,,,,,,,,,,,,,,,,,
