Title,Name of BCI,Form-factor,Category of BCI,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,reality factor,neurafictionality,neuroptimism,BCI forecast,Description,Keywords,Author/Directed by,Distributed by,Production Company,Near Future,Year,Utopia/Dystopia in the media,years since publication,prediction
Neuromancer,Simstim,,"linking, stimulation",1-Jan-84,"Movie, Novel, game, opera","dystopia, utopia",,0.275362319,0.203208556,0.737967914,138,"Stimulation of the brain and nervous system of one person using a recording (or live broadcast) of another person's experience.
",,William Gibson,,,100,1984,"Dystopia, Utopia",38,2121
Culture Series,Neural Lace,implant,"linking, stimulation",1-Jan-87,Novel,"dystopia, utopia",Invasive,0.259259259,0.190217391,0.733695652,135,"Laces may autonomously regulate the flow of gland secretions to enhance bodily responses and functions. Laces may go to sleep with their host, and awaken from an adrenaline rush. They may wake their host in response to urgent communications. A lace improves memory retention and recall. It actively manages memory to minimize losses.However, it does not prevent noticeable loss or change of personality in long-lived persons. The lace may be used to interface with machines.",,Iain M Banks,,,100,1987,Dystopia,35,2121
Star Trek: The Next Generation,VISOR,"glasses, implant","XR, reality, rehabilitation, stimulation",1-Jul-87,"Movie, Novel, TV Series, comics, game",utopia,"Invasive, Non-invasive",0.777777778,0.190217391,0.244565217,45,"The VISOR (an acronym for Visual Instrument and Sensory Organ Replacement) was a medical device used in the Federation to aid patients who had either lost their eyesight or were born blind. The result was a vastly different visual acuity, with VISOR-wearers able to see in the infrared and ultraviolet ranges and beyond. To Human eyes with good vision, the images relayed through the VISOR could seem disorienting and unfamiliar. The 2360s model detected electromagnetic signals across the entire EM spectrum between 1 Hz and 100,000 THz and transmitted those signals to the brain through neural implants in the temples of the individual via delta-compressed wavelengths. A bank of preprocessors uses a pulse compression routine to compress the data stream into pulses so that it doesn't overload the senses.","XR, enhancement, medical",Gene Roddenberry,Paramount Pictures,Paramount Television,10,1987,Utopia,35,2031
The Gap Cycle Series,Zone implant,implant,"emotions, manipulation, stimulation",1-Jan-90,Novel,dystopia,Invasive,0.242424242,0.17679558,0.729281768,132,"""zone implant"" in the brain - a remotely controlled electrode which allows to control every feeling and action",,Stephen R. Donaldson,,,100,1990,Dystopia,32,2121
Until the End of the World,,helmet,"dreams, rehabilitation, stimulation",1-Jan-91,Movie,"dystopia, utopia",Non-invasive,0.382716049,0.172222222,0.45,81,"Device for recording and translating brain impulses to restore vision of the blind person. Also used for recording the dreams. telexperience technology that is adapted to record dreams so that they can be shared with others or watched on a video display. In the world of the film, the technology is new and experimental, and is handled in the inventor’s laboratory with complicated electronic equipment. After having first recorded an event with a special binocular, brainwave-reading camera, the subject must rewatch the recording and remember the event. During this rewatching, the subject’s brainwaves are being recorded for later transmission. The subject has electrodes taped to his or her temples and lies back in a curved headrest with an electronic grid lining it. We know it’s working because of the various screens that display the moving images gathered by the procedure. We know it’s done when the subject’s REM state ends, which is seen on screens that monitor the health and brain activity
of the subject.",medical,Wilm Wenders,Warner Bros. Pictures,"Filmproduktion GmbH, Road Movies",50,1991,"Dystopia, Utopia",31,2071
Star Trek: The Next Generation,,glasses,stimulation,1-Jan-91,"Anime, Movie, TV Series, comics, game",dystopia,Non-invasive,0.607843137,0.172222222,0.283333333,51,"device that fits over the ears and projects signals into the eyes. This creates in the wearer's field of vision an image of discs going into funnels. When a disk goes into one of said funnels, the player is ""rewarded"" by receiving pleasure signals from the device.","addiction, pleasure",Gene Roddenberry,Paramount Pictures,Paramount Television,20,1991,Dystopia,31,2041
Quarantine,Neural mods,lifeform,"control of the user, emotions, knowledge upload, manipulation, stimulation",1-Jan-92,Novel,"dystopia, utopia",Invasive,0.230769231,0.167597765,0.726256983,130,"Neural mods are common place, designed pathways in the brain that are created with engineered, programmable microoganisms to produce a variety of effects, such as implanting skillsets, emotions, altered states of awareness or, illegally, forcing and controlling thoughts.",manipulation,Greg Egan,,,100,1992,"Dystopia, Utopia",30,2121
 Star Trek: The Next Generation,Neural transducer,implant,"rehabilitation, stimulation",1-Jan-92,"Anime, Movie, TV Series, comics, game",utopia,Invasive,0.75,0.167597765,0.223463687,40,"Neural transducers were small devices used to restore mobility to physically disabled individuals. They could pick up the neural signals from the brain and then stimulate the appropriate muscles. The implants were generally not one hundred percent effective, but did allow a patient to recover most mobility. Motor assist bandswere first used to train the patient's nervous system before surgery.",medical,Gene Roddenberry,Paramount Pictures,Paramount Television,10,1992,Utopia,30,2031
The Turing Option,,implant,stimulation,1-Jan-92,Novel,utopia,Invasive,0.6,0.167597765,0.279329609,50,Electronic implants (restoring brain activity),medical,Harry Harrison,,,20,1992,Utopia,30,2041
Fortress,Intestinators,implant,stimulation,1-Jan-92,Movie,dystopia,Invasive,0.6,0.167597765,0.279329609,50,"To maintain discipline all inmates are implanted with ""Intestinators"" which induce severe pain or death as a form of physical control and mental conditioning.",prison,Stuart Gordon,"Dimension Films, Tri-Star Pictures","Davis Entertainment, Village Roadshow Pictures",20,1992,Dystopia,30,2041
Snow Crash,,software,"communication, knowledge upload, stimulation",1-Jan-92,Novel,"dystopia, utopia",N/A,0.285714286,0.167597765,0.586592179,105,"Firmware programming language for the brainstem, BIOS for the brain",,Neal Stephenson,,,75,1992,"Dystopia, Utopia",30,2096
The Night's Dawn Trilogy,neural nanonics,implant,"communication, linking, memory, robot/object control, stimulation",1-Jan-96,Novel,utopia,Invasive,0.206349206,0.148571429,0.72,126,"Neural nanonics are a form of nanoscale technology implanted at the base of the skull that serve as a highly advanced computer system directly linked to the subject's brain. Neural nanonic sets are available in a variety of models which vary in power and applications, like modern computers. Neural nanonics range from very basic models, designed for the average person which allows the day-to-day functions of a neural-linked information culture, to incredibly complex and powerful sets which can allow a user to fly starships (or fly them automatically, to a lesser degree) or command battalions of men. Functioning nanonics have no undesired control over the brain, preserving the will and privacy of the user. However, programmes can be set to ""primary"" mode, at which point they can aide the user, or take control of certain bodily functions completely. Applications:
	Datavises: E-mail type communication with people and machinery. Control over equipment occurs with thought alone.
	Sensevises: A way of communicating and viewing data. An image alone with sound , smell, texture, taste etc is electronically encoded directly into the brain. This allows a close approximation to the Edenist affinitygene on a technological level. It provides full stimulation, and complete immersion in a fantasy world. Secure (Level 1) sensevises can occur which are said to be unbreakable by human technological standards.
	Neuroiconic-Display: Displays data ""into your mind"", the data is viewed through your eyes in your peripheral vision, everything from the time, to datavise answers, through to starship controls and readouts can appear. The information can be expanded on through thought, at which point the display will give greater detail, or activate/answer/respond to, the message/program etc. Damage to the host body (physiological monitors) or starship, etc, are overlaid as icons on a outline of the object in question.
	Enhanced memory retrieval: Memories can be ""sorted"" and ""filed"" as well as played back and backed up.
	Physiological and Biochemical Control Functions: Nanonics allow a user to access their body's chemical and physical functions for the purposes of medical diagnosis and treatment--nanonics improve the speed and effectiveness of medical nanonic packages for instance. On a lighter note, neural nanonics allow a person to minimize the effects of their body's unwanted physiological functions, including dampening the effects of alcohol and sexual arousal.
	Axon Blocks: Axon blocks can block any form of pain from the body, allowing the user to continue to function even with severe wounds. They can also block nausea, and bodily functions, for a while at least.
	Stimulant Programs: “Stim” programs as they are known range from increasing adrenalin production in times of danger, to flooding the body with endorphins, the higher range programs are considered black market, as they very closely replicate the effect of drugs, with many of the same side effects.
	Somnolence Progams: Force the user to sleep
	Attack/Defence: Programs analyse attacks of enemies and can give counter moves, in primary mode many even perform the moves on behalf of the user. This can also “spot” dangers which a normal human may miss.
	Other uses: Automatic weapon control, Encyclopedia Galactica, SII Suit control, linguistic translation, news informats, starship astrogation, net searches, sight amplification, hearing amplification, full range nerve overrides for the entire body, implant command, total indexed memory recall, electronic warfare.",military,Peter F. Hamilton,,,100,1996,"Dystopia, Utopia",26,2121
StarCraft,Neural resocialization,helmet,"control of the user, stimulation",1-Jan-98,game,dystopia,Non-invasive,0.324324324,0.138728324,0.427745665,74,"Neural resocialization was a rigorous process, devised by the Terran Confederacy, used to treat criminals suffering from mental disorders or at least prevent them from committing crimes and turning them into loyal soldiers. Some Dominion military personnel even volunteered for the process (in an effort to avoid mental problems). Those who underwent the process often had a blissful look. Since the reign of Valerian Mengsk, it has been banned by the Terran Dominion.
Terrans sometimes refer to neural resocialization simply as ""resoc"" or ""brain panning"" (the latter term also refers to any form of insanity, brain damage, drug use or even simple stupidity).
Neural resocialization bears many similarities to the technology used normally to control ghosts. However, resocialization technology has been used to control spectres and to modify the memories of ghosts in order to ensure their loyalty.
Resocialized individuals' minds are ""fuzzy"" when sensed by a telepath.",prison,,,,50,1998,Dystopia,24,2071
 Star Trek: Deep Space Nine,Cranial implant,implant,stimulation,1-Jan-98,"Anime, Movie, TV Series, comics, game","dystopia, utopia",Invasive,0.545454545,0.138728324,0.25433526,44,"When authorized by the head of the Obsidian Order, operatives (such as Elim Garak) were fitted with a cranial implant that stimulated the production of endorphins, allowing them to resist torture.",military,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,20,1998,"Dystopia, Utopia",24,2041
Deepness in the Sky,,tool,"control of the user, stimulation",1-Jan-99,Novel,dystopia,Non-invasive,0.18699187,0.13372093,0.715116279,123,"An active MRI-type device triggers changes through dia- and paramagnetic biological molecules. By manipulating the brain in this way, Emergent managers induce obsession with a single idea or specialty, which they call Focus, essentially turning people into brilliant appliances.","obsessions, stimulations",Vernor Vinge,,,100,1999,"Dystopia, Utopia",23,2121
DeusEx,,implant,"control of the user, linking, manipulation, stimulation",1-Jan-00,game,utopia,Invasive,0.180327869,0.128654971,0.713450292,122,"One-way micro-transceiver array allows agents in the field to receive messages from Control, and to store and later retrieve relevant maps, conversations and notes. Example 1: helicopter pilot with implanted chips to better pilot her aircraft and analyze flight paths, velocity and spacial awareness. Ex 2: hacker with BCI which allows direct access to computer networks and to act as “human proxy”, to allow an individual to remotely control his/her actions. The game raises the question of the downsides of this kind of augmentation as those who cannot afford the enhancements (or object to getting them) rapidly find themselves at a serious disadvantage against people with artificial enhancement of their abilities. The spectre of being forced to have mechanical or electronic enhancements just to get a job is explored as well. The storyline addresses the effect of implant rejection by use of the fictional drug 'Neuropozyne' which breaks down glial tissue and is also fiercely addictive, leaving people who have augmentations little choice but to continue buying the drug from a single biotech corporation who controls the price of it. Without the drug augmented people experience rejection of implants (along with ensuing loss of implant functionality), crippling pain, and possible death.",military,,,,100,2000,"Dystopia, Utopia",22,2121
Dark Angel,,implant,stimulation,1-Jan-00,TV Series,dystopia,Invasive,0.305555556,0.128654971,0.421052632,72,"All Red soldiers were convicts, who were recruited from Death Row with the promise of several more months of life and relative freedom serving their country.
When a soldier was chosen, an implant was inserted (painfully) into the back of his neck, where it attached itself to the brain stem and began to rewire neural pathways. When the process was complete, the pain centers of the brain were deactivated, ensuring that the soldier would feel no pain and therefore would be essentially fearless. They also became hyper-adrenalized, granting them vastly superior physical strength and ruggedness. In this condition, a Red Series could withstand a tremendous amount of physical abuse, and could survive multiple gunshots to the torso. In the end, however, the strain on their nervous system was too great, and they burned out after about six months, a year at best.",pain,"Charles H. Eglee, James Cameron",20th Century Fox,"20th Century Fox Television, Cameron/Eglee Productions",50,2000,Dystopia,22,2071
Saturn's Race,Napcap Induction Cap,N/A,stimulation,1-Jan-00,Novel,utopia,N/A,1,0.128654971,0.128654971,22,A device that aids sleep and relaxation by working with the subject's brain waves,"sleep, stimulations","Larry Niven, Steven Barnes",,,0,2000,Utopia,22,2021
Sword Art Online,Medicuboid,bed,"communication, emotions, linking, stimulation",1-Jan-09,"Anime, Movie, Novel, game",utopia,Invasive,0.393939394,0.080246914,0.203703704,33,"Medicuboid is integrated with a bed, from the head to the spinal cord, rather than just a helmet and it connects not only to the medulla, but to the spinal cord as well. It also possesses a greater processing power, allowing interaction with deeper parts of the brain. All these improvements provide the user with enhanced reflexes and reaction time. However, this machine is only meant to be used for medical purposes, and specifically for patients in Terminal Care. The users of the Medicuboid hardly use their own bodies to come back to the real world; instead, they connect to external devices, like cameras and microphones, via the Medicuboid to interact with the real world.","healthcare, medical",Reki Kawahara,Aniplex,A-1 Pictures,20,2009,Utopia,13,2041
Surrogates,,helmet,"XR, robot/object control, stimulation",1-Jan-09,"Movie, comics","dystopia, utopia",Non-invasive,0.393939394,0.080246914,0.203703704,33,remote-controlled humanoid robots through which the humans interact with society.,,Jonathon Mostow,"Motion Pictures, Walt Disney Studios","Mandeville Productions, TouchStone Pictures",20,2009,"Dystopia, Utopia",13,2041
The Outer Limits,Cerebral Chip (CCI2),implant,"reading thoughts, telepathy",1-Jan-95,TV Series,"dystopia, utopia",Invasive,0.212598425,0.153409091,0.721590909,127,"implant used to rewire the brain, later used for telepathy and communication as well as reading thoughts",,Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television",100,1995,"Dystopia, Utopia",27,2121
The Night's Dawn Trilogy,"Affinity, neuron symbionts",implant,"communication, linking, telepathy",1-Jan-96,Novel,utopia,Invasive,0.206349206,0.148571429,0.72,126,"Affinity is a quasi-telepathic link that was developed by the Edenists in the late 21st Century. They use it to communicate mentally with each other, with their habitats and voidhawks. By the 27th Century, it has been further developed to allow direct control of non-sentient computers (such as a bitek array) and animal life forms (such as spiders for remote sensing).
Originally, affinity was achieved by neuron symbionts. That is, an implant in the brains of the ""sender"" and ""receiver"", allowing them to contact each other. Eventually, affinity was encoded in human DNA and embryos engineered to carry this gene. This was one of the reasons which caused the Edenist community to be ex-communicated from the Church (the other being the transfer of Edenist memories and personalities to the neural strata of the original habitat Eden).
Affinity has two modes of communication. One is a secure person-to-person mode for privacy, the other is communial, allowing all Edenists in a given location to pick up on the conversation. Taking the communial mode further, Edenists have a ""Consensus"", kind of mega-meeting of minds, to discuss matters of grave concern (i.e possesion or the Laton crisis).
One of the misconceptions of affinity that Adamists often have is that affinity is ""a voice inside your head"". It is so much more, as a full range of emotions, visual images, smells, and sounds can be transmitted.
Affinity works using an odd property of physics known as quantum entanglement. When two particles are entangled in such a way, the two are linked at a fundamental level, no matter how far apart they are. This allows affinity to broadcast data etc without any apparent means of transmission (i.e. radio), which renders the link to be undetectable of non-affinity technology. It also allows faster-than-light communication. In reality, the distance that affinity has is limited by the power of the sender and the interference present such as large quantities of matter.
Affinity is not used exclusively by Edenists. Owners of blackhawk starships (who are usually Adamist) will have neuron symbionts implanted which allows affinity communication with their ship. Unlike Edenist affinity, the owners link is ""tuned in"" to ship only. Blackhawks do have general affinity though.","group mind, religion",Peter F. Hamilton,,,100,1996,Dystopia,26,2121
Star Trek: The Next Generation,neural link,N/A,telepathy,1-Jan-90,"Anime, Movie, TV Series, comics, game",utopia,N/A,0.242424242,0.17679558,0.729281768,132,"A neural link was the term used to describe the telepathic connection between Borg drones, allowing them the act as one mind in the Collective.",group mind,Gene Roddenberry,Paramount Pictures,Paramount Television,100,1990,Utopia,32,2121
 Star Trek: Enterprise,telepresence unit,tool,"reading thoughts, telepathy",1-Jan-05,"Anime, Movie, TV Series, comics, game","dystopia, utopia",Non-invasive,0.459459459,0.102409639,0.222891566,37,"A telepresence unit was a device which utilized telepresence to allow a person to safely control a vessel from a remote location. Telepathy was required to use a telepresence unit, which could transmit brain wave signals through many light years in space.",telepresence,"Brannon Braga, Rick Berman",Paramount Pictures,Paramount Television,20,2005,"Dystopia, Utopia",17,2041
Pacific Rim,mental link,N/A,telepathy,1-Jan-13,"Anime, Movie, game",utopia,N/A,0.082568807,0.056962025,0.689873418,109,"Jaegers, gigantic humanoid mechas, each controlled by at least two pilots, whose minds are joined by a mental link. The Drift (also known as Drifting or Bridged) is a process that two Jaeger pilots undergo prior to synchronizing with the Jaeger itself.","assimilation, military",Guillermo del Toro,Warner Bros. Pictures,Legendary Pictures,100,2013,"Dystopia, Utopia",9,2121
Pacific Rim,Drift,N/A,telepathy,1-Jan-13,"Anime, Movie, game",utopia,N/A,0.082568807,0.056962025,0.689873418,109,The Drift (also known as Drifting or Bridged) is a process that two Jaeger pilots undergo prior to synchronizing with the Jaeger itself.,"assimilation, military",Guillermo del Toro,Warner Bros. Pictures,Legendary Pictures,100,2013,"Dystopia, Utopia",9,2121
Star Trek: The Original Series,Mind Meld,N/A,telepathy,1-Jan-66,"Movie, TV Series, comics, game","dystopia, utopia",N/A,0.358974359,0.273170732,0.76097561,156,"A mind meld is a technique for sharing thoughts, experiences, memories, and knowledge with another individual, essentially a limited form of telepathy. It usually requires physical contact with a subject, though instances of mind melds without contact have been seen. When first depicted in the TOS episode ""Dagger of the Mind"", the procedure was said to require several moments of intense concentration and preparation. However, subsequent episodes show contact between minds occurring almost immediately. Although most often seen done with humanoids, mind melds can be performed with members of other species. Spock even once successfully mind melded with a machine and was able to establish telepathic contact with the mechanical probe V'ger. 
Mind melds can be used both to erase and restore memories; Spock performs each of these on Captain Kirk during TOS 's third season. A mind meld was even used to rejoin Spock's katra with his physical body. Mind melds can also allow more than one mind to experience memories and sensations, and sometimes even interact with the memories. Some species are able to resist mind melds.",mind-sharing,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",100,1966,"Dystopia, Utopia",56,2121
A Biological Experiment,Psycho-Phone,,reading thoughts,1-Jan-28,Novel,"dystopia, utopia",Non-invasive,0.652777778,0.386831276,0.592592593,144,"A device that recorded and played back the thoughts of the user.
",,David H. Keller,,,50,1928,Dystopia,94,2071
"The X-Files, S3 EP1 ""The Blessing Way""",,implant,"memory, reading thoughts",1-Jan-95,"Movie, Novel, TV Series",dystopia,Invasive,0.264705882,0.153409091,0.579545455,102,Implant that reads each thought and can modify memory,memories,R. W. Goodwin,"20th Television, Disney-ABC","20th Century Fox Television, Ten Thirteen Productions",75,1995,Dystopia,27,2096
"Fringe, S5 EP8 ""The Human Kind""",,implant,"emotions, reading thoughts",1-Jan-12,TV Series,dystopia,Invasive,0.166666667,0.062893082,0.377358491,60,Implant that reads minds of others on the expense of emotion,emotions,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Warner Bros. Television,"Bad Robot Productions, Warner Bros. Television",50,2012,Dystopia,10,2071
Star Trek: Deep Space Nine,Dataport,"implant, tool","knowledge upload, memory, reading thoughts",1-Jan-99,"Anime, Movie, TV Series, comics, game","dystopia, utopia","Invasive, non-contact",0.18699187,0.13372093,0.715116279,123,"A dataport was a device that allowed a person to interface directly with a computer. Dataports also allowed information to be transferred to or from a person's mind, including memories, which could then be stored in data crystals. A third capability of dataports was allowing two people to link minds; in that capacity, they were used by net-girls, among others, who allowed paid customers into their minds.
The typical dataport had three parts: one which was implanted behind the person's ear, one which was attached to the implant, and one which attached to the target computer.",,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,100,1999,"Dystopia, Utopia",23,2121
Star Trek: Deep Space Nine,neurogenic interface,lifeform,reading thoughts,1-Jan-99,"Anime, Movie, TV Series, comics, game","dystopia, utopia",N/A,0.534883721,0.13372093,0.25,43,"A neurogenic interface was a technology that allowed a lifeform's brain to directly communicate with a computer, allowing the user to control functions and have it react instantly to thought.",,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,20,1999,"Dystopia, Utopia",23,2041
Star Trek: Voyager,neural transceiver,implant,reading thoughts,1-Jan-97,"Anime, Movie, TV Series, comics, game","dystopia, utopia",Invasive,0.555555556,0.143678161,0.25862069,45,"A neural transceiver or neuro-transceiver (alternately neurotransceiver) was a device capable of granting access to an individual's brain. Implanted in the upper spinal column, this technology was utilized heavily by the Borg as the primary means of maintaining the neural link between an individual drone and the rest of the Collective. ",access,"Jeri Taylor, Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,20,1997,Dystopia,25,2041
 Star Trek: The Next Generation,neural interface,N/A,"linking, reading thoughts",1-Jan-91,"Anime, Movie, TV Series, comics, game","dystopia, utopia",N/A,1,0.172222222,0.172222222,31,"A neural interface was a technology that allowed a direct connection to be formed between a computer system and an individual's brain. Technologies which utilized neural interfaces included telepresence units, the suspended animation system of Viorsa's species, and multitronic engrammatic interpreters. ",,Gene Roddenberry,Paramount Pictures,Paramount Television,0,1991,"Dystopia, Utopia",31,2021
 Star Trek: The Original Series,Psycho-tricoder,tool,"reading thoughts, recording brain activity, rehabilitation",1-Jan-67,"Anime, Movie, Novel, TV Series, comics, game","dystopia, utopia",Non-invasive,1,0.269607843,0.269607843,55,"This version of the tricorder scanned specific brain wave patterns during questioning of the patient, and was helpful in diagnosis and treatment of mental ailments and disorders. It may have possessed a hypnosis-assist subroutine, as well as subroutines for lie-detection and amnesia analysis. The device was normally operated by a medical technician while the attending psychologist directed the patient.",medical,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",0,1967,"Dystopia, Utopia",55,2021
 Star Trek: Deep Space Nine,Romulan mind probe (mind scanner),tool,reading thoughts,1-Jan-99,"Anime, Movie, TV Series, comics, game",dystopia,Non-invasive,0.534883721,0.13372093,0.25,43,"The device had the ability to record thoughts and provide that data to be read by the interrogators, thus making it possible to bypass normal interrogation techniques.",interrogation,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,20,1999,Dystopia,23,2041
Sol Bianca,"The F-310 Mega-Arms, non-invasive",helmet,reading thoughts,1-Jan-99,Anime,dystopia,Non-invasive,0.534883721,0.13372093,0.25,43,"It is a direct neural interface weapon, tapping into the user's thoughts and intentions. By reading the mind of the soldier wearing it - its a big gun - the reflexes of the peripheral nervous system are effectively bypassed and the gun fires long before the finger pulls the trigger. It is pretty much instantaneous when the decision to fire has been made.",military,"Hiroki Hayashi, Katsuhito Akiyama",,AIC,20,1999,Dystopia,23,2041
Harry Potter,Sorting Hat,hat,reading thoughts,1-Jan-97,"Movie, Novel, Theatre, game",utopia,Non-invasive,0.555555556,0.143678161,0.25862069,45,"The Hat is skilled with legilimency, the act of magically navigating through the many layers of a person's mind and correctly interpreting one's findings. A person who practises this art is known as a Legilimens. Muggles might call this ""mind-reading,"" but practitioners disdain the term as naive. The opposite of Legilimency is Occlumency, which may be used to shield one's mind from the invasion and influence of a Legilimens.",education,J. K. Rowling,Warner Bros. Pictures,Warner Bros. Pictures,20,1997,Utopia,25,2041
Avengers: Infinity War,Mind Stone,stone,"dreams, memory, reading thoughts",1-Jan-18,"Movie, comics, game","dystopia, utopia",Non-invasive,0.031007752,0.026143791,0.843137255,129,"Mind Stone allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; VisioThe Mind Stone is one of the six Infinity Stones, the remnant of a singularity that predated the universe, which governed over the fabric of mind. The Mind Stone allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious. At its core, the Stone contains a highly advanced intelligence framework, akin to an incredibly powerful supercomputer operating similarly to a sentient mind. The Stone's intelligence is powerful enough to enhance and spontaneously grant sentience to the artificial beings Ultron and Vision. As implied by this intelligence, the Stone itself also possesses a form of sentience, with the Stone directly communicating with Vision in order to warn him of the coming threat of Thanos.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; Vision",,"Anthony Russo, Joe Russo","Motion Pictures, Walt Disney Studios",Marvel Studios,125,2018,"Dystopia, Utopia",4,2146
The Nexus Trilogy,Nexus 5,drug,"reading thoughts, recording brain activity",1-Jan-12,Novel,"dystopia, utopia",N/A,0.090909091,0.062893082,0.691823899,110,nano-drug for direct input and output of brain signals,,Ramez Naam,,,100,2012,"Dystopia, Utopia",10,2121
"Nick Hall, thrilogy",,implant,"linking, reading thoughts",1-Jan-14,Novel,"dystopia, utopia",Invasive,0.074074074,0.050955414,0.687898089,108,implants that have the ability for the brain to connect directly to the internet as well as reading minds,network,Douglas E. Richards,,,100,2014,"Dystopia, Utopia",8,2121
Minority Report,,"helmet, tank with water","communication, knowledge upload, memory, reading thoughts",1-Jan-02,"Movie, Novel",dystopia,Non-invasive,0.137931034,0.118343195,0.857988166,145,"specialized mutated humans, called ""Precogs"", who ""previsualize"" crimes by receiving visions of the future.","law enforcement, police","Philip K. Dick, Steven Spielberg","20th Century Fox, DreamWorks Pictures","20th Century Fox, Amblin Entertainment, DreamWorks Pictures",125,2002,Dystopia,20,2146
Minority Report,,helmet,memory,1-Jan-02,Movie,dystopia,Non-invasive,0.137931034,0.118343195,0.857988166,145,headband with a single glowing indicator at the rear to wipe the mind of the prisoner and to control them,"law enforcement, police","Philip K. Dick, Steven Spielberg","20th Century Fox, DreamWorks Pictures","20th Century Fox, Amblin Entertainment, DreamWorks Pictures",125,2002,Dystopia,20,2146
"Futurama, S6 EP16 ""Law and Oracle""",,"helmet, tank with water","communication, knowledge upload, memory, reading thoughts, storage",1-Jan-11,sitcom,dystopia,Non-invasive,0.080882353,0.06875,0.85,136,"Pickles, a robot equipped with an advanced human brain that can predict crimes in advance before they happen.","law enforcement, police",Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",125,2011,Dystopia,11,2146
The Mind Machine,,N/A,"linking, reading thoughts, robot/object control",1-Jan-13,Anime,"dystopia, utopia",N/A,0.310344828,0.056962025,0.183544304,29,"Nick Wallace, a computer scientist, discovers a way to control computers with ones thoughts, permitting human beings to think on super-human levels.",,Joseph Herman,,Legend Animation,20,2013,"Dystopia, Utopia",9,2041
Ghost in the Shell,CyberBrain,implant,"consciousness transfer, linking, storage",1-Jan-95,"Anime, Movie, comics","dystopia, utopia",Invasive,0.264705882,0.153409091,0.579545455,102,"Cyberization is the process whereby a normal brain is physically integrated with electronic components to produce an augmented organ referred to as a cyberbrain. The terms were first coined in the anime and manga series Ghost in the Shell. Cyberbrain implants, in conjunction with micromachines, allow the brain to initiate and maintain a connection to computer networks or other individuals who also possess a cyberbrain. Through the use of a cyberbrain it is possible to have a direct, constant connection between the human brain and the Internet without the need for external devices. This capability results in a number of unforeseen psychosocial phenomena (including the Stand Alone Complex) whose emergence is a major plot element of the various Ghost in the Shell stories.                 A cyberbrain works, ""similar"" to a human brain, to make the body respond to the brain it shoots off an electrical signal through a mass of wiring, (similar to nerves) that's the basics on motion. The thought process is (in theory) close to the same as a fully organic brain.",network,Mamoru Oshii,Shochiku,"Bandai Visual, Production I.G.",75,1995,Dystopia,27,2096
"Black Mirror, S4 EP6 ""Black Museum""",,hologram,consciousness transfer,1-Jan-17,TV Series,"dystopia, utopia",N/A,0.047619048,0.032467532,0.681818182,105,"Using the same consciousness-copying and downloading tech as seen in other “Black Mirror” episodes and discussed earlier in “Black Museum,” the conscious hologram is an actual copy of the person’s entire personality. The technology scans through the person’s brain to exactly duplicate them as a simulation. In “Black Museum,” the consciousness is then simulated in a physical space as a hologram. The hologram is still able to feel pain through the simulation, however, and full copies of the consciousness can be placed in other storage devices, just like the talking monkey doll.",hologram,Colm McCarthy,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",100,2017,Dystopia,5,2121
Meditations,Brain in the a vat,N/A,consciousness transfer,"January 1, 1641",Novel,"dystopia, utopia",Non-invasive,0.792099792,0.718867925,0.90754717,481,Brain taken out of the body,,René Descartes,,,100,1641,Utopia,381,2121
